index,sentiment,text,pretoken,token,stemmed,lemmatized,posttoken
"12","0","@octolinz16 It it counts, idk why I did either. you never talk to me anymore ","It it counts, i do not know why I did either. you never talk to me anymore","['It', 'it', 'counts', ',', 'i', 'do', 'not', 'know', 'why', 'I', 'did', 'either', '.', 'you', 'never', 'talk', 'to', 'me', 'anymore']","['it', 'it', 'count', ',', 'i', 'do', 'not', 'know', 'whi', 'i', 'did', 'either', '.', 'you', 'never', 'talk', 'to', 'me', 'anymor']","['it', 'it', 'count', ',', 'i', 'do', 'not', 'know', 'why', 'i', 'do', 'either', '.', 'you', 'never', 'talk', 'to', 'me', 'anymore']","['it', 'it', 'count', 'i', 'do', 'not', 'know', 'why', 'i', 'do', 'either', 'you', 'never', 'talk', 'to', 'me', 'anymore']"
"13","0","@smarrison i would've been the first, but i didn't have a gun.    not really though, zac snyder's just a doucheclown.","i would have been the first, but i did not have a gun. not really though, zac snyder's just a doucheclown.","['i', 'would', 'have', 'been', 'the', 'first', ',', 'but', 'i', 'did', 'not', 'have', 'a', 'gun', '.', 'not', 'really', 'though', ',', 'zac', ""snyder's"", 'just', 'a', 'doucheclown', '.']","['i', 'would', 'have', 'been', 'the', 'first', ',', 'but', 'i', 'did', 'not', 'have', 'a', 'gun', '.', 'not', 'realli', 'though', ',', 'zac', ""snyder'"", 'just', 'a', 'doucheclown', '.']","['i', 'would', 'have', 'be', 'the', 'first', ',', 'but', 'i', 'do', 'not', 'have', 'a', 'gun', '.', 'not', 'really', 'though', ',', 'zac', ""snyder's"", 'just', 'a', 'doucheclown', '.']","['i', 'would', 'have', 'be', 'the', 'first', 'but', 'i', 'do', 'not', 'have', 'a', 'gun', 'not', 'really', 'though', 'zac', ""snyder's"", 'just', 'a', 'doucheclown']"
"14","0","@iamjazzyfizzle I wish I got to watch it with you!! I miss you and @iamlilnicki  how was the premiere?!","I wish I got to watch it with you!! I miss you and how was the premiere?!","['I', 'wish', 'I', 'got', 'to', 'watch', 'it', 'with', 'you', '!', '!', 'I', 'miss', 'you', 'and', 'how', 'was', 'the', 'premiere', '?', '!']","['i', 'wish', 'i', 'got', 'to', 'watch', 'it', 'with', 'you', '!', '!', 'i', 'miss', 'you', 'and', 'how', 'wa', 'the', 'premier', '?', '!']","['i', 'wish', 'i', 'get', 'to', 'watch', 'it', 'with', 'you', '!', '!', 'i', 'miss', 'you', 'and', 'how', 'be', 'the', 'premiere', '?', '!']","['i', 'wish', 'i', 'get', 'to', 'watch', 'it', 'with', 'you', 'i', 'miss', 'you', 'and', 'how', 'be', 'the', 'premiere']"
"15","0","Hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now?","Hollis' death scene will hurt me severely to watch on film wry is directors cut not out now?","['Hollis', ""'"", 'death', 'scene', 'will', 'hurt', 'me', 'severely', 'to', 'watch', 'on', 'film', 'wry', 'is', 'directors', 'cut', 'not', 'out', 'now', '?']","['holli', ""'"", 'death', 'scene', 'will', 'hurt', 'me', 'sever', 'to', 'watch', 'on', 'film', 'wri', 'is', 'director', 'cut', 'not', 'out', 'now', '?']","['hollis', ""'"", 'death', 'scene', 'will', 'hurt', 'me', 'severely', 'to', 'watch', 'on', 'film', 'wry', 'be', 'director', 'cut', 'not', 'out', 'now', '?']","['hollis', 'death', 'scene', 'will', 'hurt', 'me', 'severely', 'to', 'watch', 'on', 'film', 'wry', 'be', 'director', 'cut', 'not', 'out', 'now']"
"16","0","about to file taxes ","about to file taxes","['about', 'to', 'file', 'taxes']","['about', 'to', 'file', 'tax']","['about', 'to', 'file', 'tax']","['about', 'to', 'file', 'tax']"
"17","0","@LettyA ahh ive always wanted to see rent  love the soundtrack!!","ahh i have always wanted to see rent love the soundtrack!!","['ahh', 'i', 'have', 'always', 'wanted', 'to', 'see', 'rent', 'love', 'the', 'soundtrack', '!', '!']","['ahh', 'i', 'have', 'alway', 'want', 'to', 'see', 'rent', 'love', 'the', 'soundtrack', '!', '!']","['ahh', 'i', 'have', 'always', 'want', 'to', 'see', 'rent', 'love', 'the', 'soundtrack', '!', '!']","['ahh', 'i', 'have', 'always', 'want', 'to', 'see', 'rent', 'love', 'the', 'soundtrack']"
"18","0","@FakerPattyPattz Oh dear. Were you drinking out of the forgotten table drinks? ","Oh dear. Were you drinking out of the forgotten table drinks?","['Oh', 'dear', '.', 'Were', 'you', 'drinking', 'out', 'of', 'the', 'forgotten', 'table', 'drinks', '?']","['oh', 'dear', '.', 'were', 'you', 'drink', 'out', 'of', 'the', 'forgotten', 'tabl', 'drink', '?']","['oh', 'dear', '.', 'be', 'you', 'drink', 'out', 'of', 'the', 'forgotten', 'table', 'drink', '?']","['oh', 'dear', 'be', 'you', 'drink', 'out', 'of', 'the', 'forgotten', 'table', 'drink']"
"19","0","@alydesigns i was out most of the day so didn't get much done ","i was out most of the day so did not get much done","['i', 'was', 'out', 'most', 'of', 'the', 'day', 'so', 'did', 'not', 'get', 'much', 'done']","['i', 'wa', 'out', 'most', 'of', 'the', 'day', 'so', 'did', 'not', 'get', 'much', 'done']","['i', 'be', 'out', 'most', 'of', 'the', 'day', 'so', 'do', 'not', 'get', 'much', 'do']","['i', 'be', 'out', 'most', 'of', 'the', 'day', 'so', 'do', 'not', 'get', 'much', 'do']"
"20","0","one of my friend called me, and asked to meet with her at Mid Valley today...but i've no time *sigh* ","one of my friend called me, and asked to meet with her at Mid Valley today...but i have no time *sigh*","['one', 'of', 'my', 'friend', 'called', 'me', ',', 'and', 'asked', 'to', 'meet', 'with', 'her', 'at', 'Mid', 'Valley', 'today', '...', 'but', 'i', 'have', 'no', 'time', '*', 'sigh', '*']","['one', 'of', 'my', 'friend', 'call', 'me', ',', 'and', 'ask', 'to', 'meet', 'with', 'her', 'at', 'mid', 'valley', 'today', '...', 'but', 'i', 'have', 'no', 'time', '*', 'sigh', '*']","['one', 'of', 'my', 'friend', 'call', 'me', ',', 'and', 'ask', 'to', 'meet', 'with', 'her', 'at', 'mid', 'valley', 'today', '...', 'but', 'i', 'have', 'no', 'time', '*', 'sigh', '*']","['one', 'of', 'my', 'friend', 'call', 'me', 'and', 'ask', 'to', 'meet', 'with', 'her', 'at', 'mid', 'valley', 'today', 'but', 'i', 'have', 'no', 'time', 'sigh']"
"21","0","@angry_barista I baked you a cake but I ated it ","I baked you a cake but I ated it","['I', 'baked', 'you', 'a', 'cake', 'but', 'I', 'ated', 'it']","['i', 'bake', 'you', 'a', 'cake', 'but', 'i', 'ate', 'it']","['i', 'bake', 'you', 'a', 'cake', 'but', 'i', 'ated', 'it']","['i', 'bake', 'you', 'a', 'cake', 'but', 'i', 'ated', 'it']"
"22","0","this week is not going as i had hoped ","this week is not going as i had hoped","['this', 'week', 'is', 'not', 'going', 'as', 'i', 'had', 'hoped']","['thi', 'week', 'is', 'not', 'go', 'as', 'i', 'had', 'hope']","['this', 'week', 'be', 'not', 'go', 'as', 'i', 'have', 'hop']","['this', 'week', 'be', 'not', 'go', 'as', 'i', 'have', 'hop']"
"23","0","blagh class at 8 tomorrow ","blagh class at 8 tomorrow","['blagh', 'class', 'at', '8', 'tomorrow']","['blagh', 'class', 'at', '8', 'tomorrow']","['blagh', 'class', 'at', '8', 'tomorrow']","['blagh', 'class', 'at', 'tomorrow']"
"24","0","I hate when I have to call and wake people up ","I hate when I have to call and wake people up","['I', 'hate', 'when', 'I', 'have', 'to', 'call', 'and', 'wake', 'people', 'up']","['i', 'hate', 'when', 'i', 'have', 'to', 'call', 'and', 'wake', 'peopl', 'up']","['i', 'hate', 'when', 'i', 'have', 'to', 'call', 'and', 'wake', 'people', 'up']","['i', 'hate', 'when', 'i', 'have', 'to', 'call', 'and', 'wake', 'people', 'up']"
"25","0","Just going to cry myself to sleep after watching Marley and Me.  ","Just going to cry myself to sleep after watching Marley and Me.","['Just', 'going', 'to', 'cry', 'myself', 'to', 'sleep', 'after', 'watching', 'Marley', 'and', 'Me', '.']","['just', 'go', 'to', 'cri', 'myself', 'to', 'sleep', 'after', 'watch', 'marley', 'and', 'me', '.']","['just', 'go', 'to', 'cry', 'myself', 'to', 'sleep', 'after', 'watch', 'marley', 'and', 'me', '.']","['just', 'go', 'to', 'cry', 'myself', 'to', 'sleep', 'after', 'watch', 'marley', 'and', 'me']"
"26","0","im sad now  Miss.Lilly","i am sad now Miss.Lilly","['i', 'am', 'sad', 'now', 'Miss.Lilly']","['i', 'am', 'sad', 'now', 'miss.lilli']","['i', 'be', 'sad', 'now', 'miss.lilly']","['i', 'be', 'sad', 'now', 'miss.lilly']"
"27","0","ooooh.... LOL  that leslie.... and ok I won't do it again so leslie won't  get mad again ","ooooh.... LOL that leslie.... and ok I will not do it again so leslie will not get mad again","['oooh', '...', 'LOL', 'that', 'leslie', '...', 'and', 'ok', 'I', 'will', 'not', 'do', 'it', 'again', 'so', 'leslie', 'will', 'not', 'get', 'mad', 'again']","['oooh', '...', 'lol', 'that', 'lesli', '...', 'and', 'ok', 'i', 'will', 'not', 'do', 'it', 'again', 'so', 'lesli', 'will', 'not', 'get', 'mad', 'again']","['oooh', '...', 'lol', 'that', 'leslie', '...', 'and', 'ok', 'i', 'will', 'not', 'do', 'it', 'again', 'so', 'leslie', 'will', 'not', 'get', 'mad', 'again']","['oooh', 'lol', 'that', 'leslie', 'and', 'ok', 'i', 'will', 'not', 'do', 'it', 'again', 'so', 'leslie', 'will', 'not', 'get', 'mad', 'again']"
"28","0","Meh... Almost Lover is the exception... this track gets me depressed every time. ","Meh... Almost Lover is the exception... this track gets me depressed every time.","['Meh', '...', 'Almost', 'Lover', 'is', 'the', 'exception', '...', 'this', 'track', 'gets', 'me', 'depressed', 'every', 'time', '.']","['meh', '...', 'almost', 'lover', 'is', 'the', 'except', '...', 'thi', 'track', 'get', 'me', 'depress', 'everi', 'time', '.']","['meh', '...', 'almost', 'lover', 'be', 'the', 'exception', '...', 'this', 'track', 'get', 'me', 'depressed', 'every', 'time', '.']","['meh', 'almost', 'lover', 'be', 'the', 'exception', 'this', 'track', 'get', 'me', 'depressed', 'every', 'time']"
"29","0","some1 hacked my account on aim  now i have to make a new one","some1 hacked my account on aim now i have to make a new one","['some', '1', 'hacked', 'my', 'account', 'on', 'aim', 'now', 'i', 'have', 'to', 'make', 'a', 'new', 'one']","['some', '1', 'hack', 'my', 'account', 'on', 'aim', 'now', 'i', 'have', 'to', 'make', 'a', 'new', 'one']","['some', '1', 'hack', 'my', 'account', 'on', 'aim', 'now', 'i', 'have', 'to', 'make', 'a', 'new', 'one']","['some', 'hack', 'my', 'account', 'on', 'aim', 'now', 'i', 'have', 'to', 'make', 'a', 'new', 'one']"
"30","0","@alielayus I want to go to promote GEAR AND GROOVE but unfornately no ride there  I may b going to the one in Anaheim in May though","I want to go to promote GEAR AND GROOVE but unfornately no ride there I may b going to the one in Anaheim in May though","['I', 'want', 'to', 'go', 'to', 'promote', 'GEAR', 'AND', 'GROOVE', 'but', 'unfornately', 'no', 'ride', 'there', 'I', 'may', 'b', 'going', 'to', 'the', 'one', 'in', 'Anaheim', 'in', 'May', 'though']","['i', 'want', 'to', 'go', 'to', 'promot', 'gear', 'and', 'groov', 'but', 'unforn', 'no', 'ride', 'there', 'i', 'may', 'b', 'go', 'to', 'the', 'one', 'in', 'anaheim', 'in', 'may', 'though']","['i', 'want', 'to', 'go', 'to', 'promote', 'gear', 'and', 'groove', 'but', 'unfornately', 'no', 'ride', 'there', 'i', 'may', 'b', 'go', 'to', 'the', 'one', 'in', 'anaheim', 'in', 'may', 'though']","['i', 'want', 'to', 'go', 'to', 'promote', 'gear', 'and', 'groove', 'but', 'unfornately', 'no', 'ride', 'there', 'i', 'may', 'b', 'go', 'to', 'the', 'one', 'in', 'anaheim', 'in', 'may', 'though']"
"31","0","thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon! ","thought sleeping in was an option tomorrow but realizing that it now is not. evaluations in the morning and work in the afternoon!","['thought', 'sleeping', 'in', 'was', 'an', 'option', 'tomorrow', 'but', 'realizing', 'that', 'it', 'now', 'is', 'not', '.', 'evaluations', 'in', 'the', 'morning', 'and', 'work', 'in', 'the', 'afternoon', '!']","['thought', 'sleep', 'in', 'wa', 'an', 'option', 'tomorrow', 'but', 'realiz', 'that', 'it', 'now', 'is', 'not', '.', 'evalu', 'in', 'the', 'morn', 'and', 'work', 'in', 'the', 'afternoon', '!']","['think', 'sleep', 'in', 'be', 'an', 'option', 'tomorrow', 'but', 'realize', 'that', 'it', 'now', 'be', 'not', '.', 'evaluation', 'in', 'the', 'morning', 'and', 'work', 'in', 'the', 'afternoon', '!']","['think', 'sleep', 'in', 'be', 'an', 'option', 'tomorrow', 'but', 'realize', 'that', 'it', 'now', 'be', 'not', 'evaluation', 'in', 'the', 'morning', 'and', 'work', 'in', 'the', 'afternoon']"
"32","0","@julieebaby awe i love you too!!!! 1 am here  i miss you","awe i love you too!!!! 1 am here i miss you","['awe', 'i', 'love', 'you', 'too', '!', '!', '!', '1', 'am', 'here', 'i', 'miss', 'you']","['awe', 'i', 'love', 'you', 'too', '!', '!', '!', '1', 'am', 'here', 'i', 'miss', 'you']","['awe', 'i', 'love', 'you', 'too', '!', '!', '!', '1', 'be', 'here', 'i', 'miss', 'you']","['awe', 'i', 'love', 'you', 'too', 'be', 'here', 'i', 'miss', 'you']"
"33","0","@HumpNinja I cry my asian eyes to sleep at night ","I cry my asian eyes to sleep at night","['I', 'cry', 'my', 'asian', 'eyes', 'to', 'sleep', 'at', 'night']","['i', 'cri', 'my', 'asian', 'eye', 'to', 'sleep', 'at', 'night']","['i', 'cry', 'my', 'asian', 'eye', 'to', 'sleep', 'at', 'night']","['i', 'cry', 'my', 'asian', 'eye', 'to', 'sleep', 'at', 'night']"
"34","0","ok I'm sick and spent an hour sitting in the shower cause I was too sick to stand and held back the puke like a champ. BED now ","ok I am sick and spent an hour sitting in the shower because I was too sick to stand and held back the puke like a champ. BED now","['ok', 'I', 'am', 'sick', 'and', 'spent', 'an', 'hour', 'sitting', 'in', 'the', 'shower', 'because', 'I', 'was', 'too', 'sick', 'to', 'stand', 'and', 'held', 'back', 'the', 'puke', 'like', 'a', 'champ', '.', 'BED', 'now']","['ok', 'i', 'am', 'sick', 'and', 'spent', 'an', 'hour', 'sit', 'in', 'the', 'shower', 'becaus', 'i', 'wa', 'too', 'sick', 'to', 'stand', 'and', 'held', 'back', 'the', 'puke', 'like', 'a', 'champ', '.', 'bed', 'now']","['ok', 'i', 'be', 'sick', 'and', 'spend', 'an', 'hour', 'sit', 'in', 'the', 'shower', 'because', 'i', 'be', 'too', 'sick', 'to', 'stand', 'and', 'hold', 'back', 'the', 'puke', 'like', 'a', 'champ', '.', 'bed', 'now']","['ok', 'i', 'be', 'sick', 'and', 'spend', 'an', 'hour', 'sit', 'in', 'the', 'shower', 'because', 'i', 'be', 'too', 'sick', 'to', 'stand', 'and', 'hold', 'back', 'the', 'puke', 'like', 'a', 'champ', 'bed', 'now']"
"35","0","@cocomix04 ill tell ya the story later  not a good day and ill be workin for like three more hours...","ill tell ya the story later not a good day and ill be workin for like three more hours...","['ill', 'tell', 'ya', 'the', 'story', 'later', 'not', 'a', 'good', 'day', 'and', 'ill', 'be', 'workin', 'for', 'like', 'three', 'more', 'hours', '...']","['ill', 'tell', 'ya', 'the', 'stori', 'later', 'not', 'a', 'good', 'day', 'and', 'ill', 'be', 'workin', 'for', 'like', 'three', 'more', 'hour', '...']","['ill', 'tell', 'ya', 'the', 'story', 'later', 'not', 'a', 'good', 'day', 'and', 'ill', 'be', 'workin', 'for', 'like', 'three', 'more', 'hour', '...']","['ill', 'tell', 'ya', 'the', 'story', 'later', 'not', 'a', 'good', 'day', 'and', 'ill', 'be', 'workin', 'for', 'like', 'three', 'more', 'hour']"
"36","0","@MissXu sorry! bed time came here (GMT+1)   http://is.gd/fNge","sorry! bed time came here (GMT+1)","['sorry', '!', 'bed', 'time', 'came', 'here', '(', 'GMT', '+', '1', ')']","['sorri', '!', 'bed', 'time', 'came', 'here', '(', 'gmt', '+', '1', ')']","['sorry', '!', 'bed', 'time', 'come', 'here', '(', 'gmt', '+', '1', ')']","['sorry', 'bed', 'time', 'come', 'here', 'gmt']"
"37","0","@fleurylis I don't either. Its depressing. I don't think I even want to know about the kids in suitcases. ","I do not either. Its depressing. I do not think I even want to know about the kids in suitcases.","['I', 'do', 'not', 'either', '.', 'Its', 'depressing', '.', 'I', 'do', 'not', 'think', 'I', 'even', 'want', 'to', 'know', 'about', 'the', 'kids', 'in', 'suitcases', '.']","['i', 'do', 'not', 'either', '.', 'it', 'depress', '.', 'i', 'do', 'not', 'think', 'i', 'even', 'want', 'to', 'know', 'about', 'the', 'kid', 'in', 'suitcas', '.']","['i', 'do', 'not', 'either', '.', 'its', 'depressing', '.', 'i', 'do', 'not', 'think', 'i', 'even', 'want', 'to', 'know', 'about', 'the', 'kid', 'in', 'suitcase', '.']","['i', 'do', 'not', 'either', 'its', 'depressing', 'i', 'do', 'not', 'think', 'i', 'even', 'want', 'to', 'know', 'about', 'the', 'kid', 'in', 'suitcase']"
"38","0","Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that's gonna fly by. I miss my girlfriend ","Bed. Class 8-12. Work 12-3. Gym 3-5 or 6. Then class 6-10. Another day that is going to fly by. I miss my girlfriend","['Bed', '.', 'Class', '8-12', '.', 'Work', '12-3', '.', 'Gym', '3-5', 'or', '6', '.', 'Then', 'class', '6-10', '.', 'Another', 'day', 'that', 'is', 'going', 'to', 'fly', 'by', '.', 'I', 'miss', 'my', 'girlfriend']","['bed', '.', 'class', '8-12', '.', 'work', '12-3', '.', 'gym', '3-5', 'or', '6', '.', 'then', 'class', '6-10', '.', 'anoth', 'day', 'that', 'is', 'go', 'to', 'fli', 'by', '.', 'i', 'miss', 'my', 'girlfriend']","['bed', '.', 'class', '8-12', '.', 'work', '12-3', '.', 'gym', '3-5', 'or', '6', '.', 'then', 'class', '6-10', '.', 'another', 'day', 'that', 'be', 'go', 'to', 'fly', 'by', '.', 'i', 'miss', 'my', 'girlfriend']","['bed', 'class', 'work', 'gym', 'or', 'then', 'class', 'another', 'day', 'that', 'be', 'go', 'to', 'fly', 'by', 'i', 'miss', 'my', 'girlfriend']"
"39","0","really don't feel like getting up today... but got to study to for tomorrows practical exam... ","really do not feel like getting up today... but got to study to for tomorrows practical exam...","['really', 'do', 'not', 'feel', 'like', 'getting', 'up', 'today', '...', 'but', 'got', 'to', 'study', 'to', 'for', 'tomorrows', 'practical', 'exam', '...']","['realli', 'do', 'not', 'feel', 'like', 'get', 'up', 'today', '...', 'but', 'got', 'to', 'studi', 'to', 'for', 'tomorrow', 'practic', 'exam', '...']","['really', 'do', 'not', 'feel', 'like', 'get', 'up', 'today', '...', 'but', 'get', 'to', 'study', 'to', 'for', 'tomorrow', 'practical', 'exam', '...']","['really', 'do', 'not', 'feel', 'like', 'get', 'up', 'today', 'but', 'get', 'to', 'study', 'to', 'for', 'tomorrow', 'practical', 'exam']"
"40","0","He's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ","He is the reason for the teardrops on my guitar the only one who has enough of me to break my heart","['He', 'is', 'the', 'reason', 'for', 'the', 'teardrops', 'on', 'my', 'guitar', 'the', 'only', 'one', 'who', 'has', 'enough', 'of', 'me', 'to', 'break', 'my', 'heart']","['he', 'is', 'the', 'reason', 'for', 'the', 'teardrop', 'on', 'my', 'guitar', 'the', 'onli', 'one', 'who', 'ha', 'enough', 'of', 'me', 'to', 'break', 'my', 'heart']","['he', 'be', 'the', 'reason', 'for', 'the', 'teardrop', 'on', 'my', 'guitar', 'the', 'only', 'one', 'who', 'have', 'enough', 'of', 'me', 'to', 'break', 'my', 'heart']","['he', 'be', 'the', 'reason', 'for', 'the', 'teardrop', 'on', 'my', 'guitar', 'the', 'only', 'one', 'who', 'have', 'enough', 'of', 'me', 'to', 'break', 'my', 'heart']"
"41","0","Sad, sad, sad. I don't know why but I hate this feeling  I wanna sleep and I still can't!","Sad, sad, sad. I do not know why but I hate this feeling I want to sleep and I still cannot!","['Sad', ',', 'sad', ',', 'sad', '.', 'I', 'do', 'not', 'know', 'why', 'but', 'I', 'hate', 'this', 'feeling', 'I', 'want', 'to', 'sleep', 'and', 'I', 'still', 'cannot', '!']","['sad', ',', 'sad', ',', 'sad', '.', 'i', 'do', 'not', 'know', 'whi', 'but', 'i', 'hate', 'thi', 'feel', 'i', 'want', 'to', 'sleep', 'and', 'i', 'still', 'cannot', '!']","['sad', ',', 'sad', ',', 'sad', '.', 'i', 'do', 'not', 'know', 'why', 'but', 'i', 'hate', 'this', 'feeling', 'i', 'want', 'to', 'sleep', 'and', 'i', 'still', 'cannot', '!']","['sad', 'sad', 'sad', 'i', 'do', 'not', 'know', 'why', 'but', 'i', 'hate', 'this', 'feeling', 'i', 'want', 'to', 'sleep', 'and', 'i', 'still', 'cannot']"
